0,1,2,3,4,5
bbc news,https://wwwfacebookcom/bbcnews,voice referendum: lies fuel racism ahead of australia's indigenous vote,experts express concerns for first nations people as a referendum debate turns increasingly divisive,2023-09-05T21:23:49Z,"""people have been let off the leash,"" thomas mayo says quietly, swiping through screenshots racist memes depicting first nations australians as ""grifters"", ""wife beaters"" and ""primitives"" flash ac… [+9064 chars]"
scientific american,curtis abraham,large herbivores can help prevent massive wildfires,reintroducing large herbivores into fire-prone areas can help combat the global rise in megafires,2023-09-09T12:00:00Z,"in 2019 and 2020, a megafire scorched eastern australia, destroying some 24 million hectares of land, and adding to the hole in the ozone layer another massive fire ate away parts of northern califo… [+7274 chars]"
vox,kylie mohr,wildfire risk is everywhere and growing,the ingredients for catastrophic wildfires are found in all corners of the country here are areas facing increased risk,2023-09-12T11:30:00Z,"all a wildfire needs is oxygen, an ignition to spark it, and fuel to burn its crackling embers and flickering flames dont know the difference between the california foothills, where residents are us… [+10837 chars]"
forbes,NA,why now is the time to focus on wildfire prevention and restoration,"the search engine ecosia recently announced it will invest €800,000 into prevention and restoration schemes",2023-09-13T10:29:06Z,"albergaria a velha, portugal - july 13: firefighters during a forest fire that has hit a timber [+] factory on july 13, 2022 in albergaria a velha, portugal wildfires have swept across the centr… [+4157 chars]"
al jazeera english,matthaios tsimitakis,greece is fighting wildfires the wrong way,a strategy focusing largely on boosting a firefighting force won't save the country from climate crisis-fuelled blazes,2023-09-17T11:01:15Z,"this summer, i decided to seek refuge from the heat in mount pelion, a mountainous region in the heart of greece, halfway between athens and thessaloniki it is home to breathtaking forests and vibra… [+9254 chars]"
makeuseof,charlotte osborn,is youtube doing enough to curb health misinformation?,misinformation and disinformation proliferate online are youtube's ongoing changes enough to promote trustworthy health content?,2023-09-14T16:16:23Z,"key takeaways <ul><li> youtube has repeatedly adjusted policies to tackle health misinformation, aiming to protect users from inaccurate health content while preserving important conversations </li… [+7909 chars]"
dezeen,ben dreith,"us scientists develop ""nanoscale"" coating to combat spread of fires",a team of scientists from universities in the united states have developed a silicon-based coating that can help stop the spread of fires by preventing materials coming in contact with flame the coating was developed to slow the spread of fire by limiting th…,2023-09-04T16:50:00Z,a team of scientists from universities in the united states have developed a silicon-based coating that can help stop the spread of fires by preventing materials coming in contact with flame the co… [+4831 chars]
cbc news,,these goats are 'constantly eating' to prevent wildfires in the california countryside,"michael choi organizes a herd of goats that eat their way through the brush of california, clearing away the fuel a wildfire needs to spread",2023-09-26T22:10:16Z,"there's a crew of firefighters gaining renown for their work to keep california safe from wildfires each member of the team has a great work ethic, a mean appetite and four legs ""they're constantl… [+3434 chars]"
grist,"thomas heaton, honolulu civil beat",hawaii needs to build hundreds more miles of firebreaks to protect against wildfire,fire officials and landowners have known for years about gaps in hawaii's firebreaks and fuelbreaks the problem boils down to money and cooperation,2023-09-17T13:00:00Z,"this story was originally published by honolulu civil beat and is republished with permission hawaii maintains a network of firebreaks to keep wildfire from spreading, but that system includes hund… [+6397 chars]"
mobilesyrup,nida zafar,rogers partners with spacex and pano ai to bring wildfire detection technology to bc,rogers is utilizing spacexs services to introduce wildfire detection and prevention technology in british columbia the telecom giant will use satellite-connected sensors through spacexs low-bandwidth swarm service to predict wildfires in remote areas of th…,2023-09-21T13:00:23Z,rogers is utilizing spacexs services to introduce wildfire detection and prevention technology in british columbia the telecom giant will use satellite-connected sensors through spacexs low-bandwi… [+1536 chars]
grist,NA,the us undercounts climate-driven deaths,"the full death toll from extreme heat waves, hurricanes and other climate-related disasters often isn&rsquo;t revealed until weeks,&nbsp;months or&nbsp;even years after an event occurs",2023-09-06T11:30:00Z,"this story is part of record high, a grist series examining extreme heat and its impact on how — and where — we live every week between may and october, the maricopa county department of public hea… [+10521 chars]"
upicom,"cara murez, healthday news",exposure to wildfire smoke affects billions of people around the globe,"more people around the world are exposed to wildfire smoke that has the potential to harm human health, and their numbers are growing, new research finds",2023-09-21T17:54:01Z,"more people around the world are exposed to wildfire smoke that has the potential to harm human health, and their numbers are growing, new research finds more than 2 billion people are exposed to a… [+2032 chars]"
los angeles times,priscella vega,smoke advisory issued through weekend in la area from northern california wildfires,wildfires burning in northern california result in a smoke advisory in the greater los angeles area residents are advised to limit outdoor exposure,2023-09-24T17:56:33Z,"wildfires burning in northern california are blowing smoke toward the los angeles area, causing unhealthy air levels that are expected to remain through sunday evening the south coast air quality … [+1090 chars]"
al jazeera english,john psaropoulos,"after slew of disasters, greeks wonder what is happening to their democracy","floods, wildfires and a deadly train collision this year have raised questions about the competence of the government",2023-09-11T15:21:43Z,"karditsa, greece i came across matoula tzela as she threw shrink-wrapped bricks of exercise books onto the pavement outside her stationery shop in the village of palamas muddy floodwater had risen … [+8011 chars]"
sacramento bee,grace scullion,legislature will vote on bill to save california goat herders for two more years,goat herders have been in jeopardy since a 2022 ‘bureacratic accident,2023-09-05T12:00:00Z,"i didnt have goat herders on my bingo card for this budget year, said asm vince fong, r-kern county, at an assembly budget committee hearing this week but ever since a 2022 bureaucratic accident, g… [+2949 chars]"
yahoo entertainment,clark mindock,"update 2-hawaii, maui sued by victim's family for gross negligence in deadly wildfires",the father of a woman who died during last month's wildfires in hawaii has sued the state and the county of maui in a “first-of-its-kind” lawsuit accusing,2023-09-05T16:13:26Z,"(adds plaintiff also suing on own behalf in paragraph 3, deaths, missing persons details in paragraph 4, background) by clark mindock sept 5 (reuters) - the father of a woman who died during last m… [+2669 chars]"
iphone in canada,gary ng,rogers partners with spacex for advanced wildfire detection,"rogers has announced a significant investment in cutting-edge wildfire detection and prevention technology in british columbia, leveraging its partnerships with spacex and other technology providers the company is integrating satellite-connected sensors usin…",2023-09-21T13:00:51Z,"rogers has announced a significant investment in cutting-edge wildfire detection and prevention technology in british columbia, leveraging its partnerships with spacex and other technology providers… [+2715 chars]"
cleantechnica,us department of energy,researchers using ai to aid disaster response & recovery,"for some, all the talk about artificial intelligence sounds like science fiction, where futuristic societies are overrun by robots that begin to think for themselves and given all the hype about ai, it is not surprising that 61 percent of respondents in a re…",2023-09-28T04:10:41Z,"sign up for daily news updates from cleantechnica on email or follow us on google news! for some, all the talk about artificial intelligence sounds like science fiction, where futuristic societies … [+5515 chars]"
aol,tom hals,analysis-novel lahaina wildfire lawsuit asks 'when is wild grass inherently dangerous?',"the father of a woman who died in the hawaii wildfires last month has launched a novel lawsuit against three major landowners, seeking to hold them",2023-09-20T10:04:11Z,"by tom hals wilmington, delaware (reuters) - the father of a woman who died in the hawaii wildfires last month has launched a novel lawsuit against three major landowners, seeking to hold them respo… [+5829 chars]"
cbc news,,"invasive species are costing us dearly, both in terms of dollars and biodiversity","in this week's issue of our environment newsletter, we look at the financial and ecological costs of invasive species and why vancouver's architecture is poorly suited to a warming planet",2023-09-07T16:26:12Z,"our planet is changing so is our journalism this weekly newsletter is part of a cbc news initiative entitled ""our changing planet"" to show and explain the effects of climate change keep up with th… [+14282 chars]"
propublica,NA,life in limbo: victims of new mexicos biggest wildfire wait for checks from the federal government to rebuild,"by patrick lohmann, source new mexico, and byard duncan, propublica this article was produced for propublicas local reporting network in partnership with source new mexico sign up for dispatches to get stories like this one as soon as they are publis…",2023-09-28T09:00:00Z,this article was produced for propublicas local reporting network in partnership with source new mexico sign up for dispatches to get stories like this one as soon as they are published on a recen… [+23561 chars]
physorg,"andy sheppard, melodie mcgeoch, philip hulme, phill cassey",opinion: the true damage of invasive alien species was just revealed in a landmark report—here's how we must act,"invasive alien species are driving biodiversity loss and extinctions in every country, all over the world",2023-09-04T17:14:03Z,"by andy sheppard, melodie mcgeoch, philip hulme and phill cassey, the conversationinvasive alien species are driving biodiversity loss and extinctions in every country, all over the world respondin… [+6820 chars]"
upicom,al lee,"biden launches american climate corps to train 20,000 for clean energy jobs","president joe biden will announce a new program that will create a workforce of 20,000 young people in careers to boost clean energy and environmental",2023-09-20T14:40:17Z,"sept 20 (upi) -- president joe biden will announce a program that will create a workforce of 20,000 young people in careers to boost clean energy and environmental conservation as part of an ongoing… [+2084 chars]"
grist,"jessica kutz, the 19th",extreme heat is linked to higher risk of life-threatening delivery complications for pregnant people,a new study found significant associations between both long- and short-term exposure to environmental heat during a pregnancy and severe maternal morbidity,2023-09-16T13:00:00Z,this story was originally published by the 19th and is republished with permission pregnant people exposed to extreme heat are at higher risk of developing life-threatening complications during lab… [+5645 chars]
forbes,NA,why should ceos pay attention to retail investors in 2024 ipos?,"in todays volatile market environment, being publicly traded can look different than it has in the past",2023-09-20T12:45:00Z,"rotem helps companies pre-identify and mitigate manipulation and reputation attacks ceo arx, a corporate advisory and vc getty with some predicting a rebound in the ipo market in 2024, its time f… [+5674 chars]"
euractiv,georgi gotev,"greece to launch drones, temperature sensors to better fight wildfires",greece's prime minister said on thursday (31 august) it would launch drones and install forest temperature sensors to improve preventive firefighting after criticism from climate activists over a devastating wildfire burning for almost two weeks,2023-09-01T05:45:22Z,greeces prime minister said on thursday (31 august) it would launch drones and install forest temperature sensors to improve preventive firefighting after criticism from climate activists over a dev… [+2174 chars]
yahoo entertainment,jody godoy,us appeals court questions delay in pg&e shareholder case,"us appeals court judges questioned a 2-1/2-year pause in a shareholder lawsuit against pg&e corp officers and directors on wednesday, suggesting they could",2023-09-13T19:09:09Z,"by jody godoy (reuters) - us appeals court judges questioned a 2-1/2-year pause in a shareholder lawsuit against pg&amp;e corp officers and directors on wednesday, suggesting they could allow the … [+1836 chars]"
nbc news,adiel kaplan and alicia victoria lozano,house passes bill to improve wildfire prevention accountability after nbc news report,a bill to improve how federal agencies track wildfire prevention work passed the house after nbc news found decades of overstatement by the forest service,2023-09-13T18:27:48Z,"a bill to improve how the federal government tracks wildfire prevention work passed the house in a near-unanimous 406-4 vote on wednesday, a month after the nations deadliest wildfire in over 100 yea… [+1664 chars]"
prnewswire,,"new smokey bear psas encourage americans to channel the ""smokey within"" and help prevent unwanted, human-caused wildfires","washington, sept 13, 2023 /prnewswire/ -- the ad council, national association of state foresters and the usda forest service are releasing new psas today as part of the iconic smokey bear wildfire prevention campaign inspiring the public to share in the sa…",2023-09-13T04:01:00Z,"washington, sept 13, 2023 /prnewswire/ -- the ad council, national association of state foresters and the usda forest service are releasing new psas today as part of the iconic smokey bear wildfire … [+6724 chars]"
randorg,,"teacher pay, the costs of insomnia, wildfire prevention: rand weekly recap","this weekly recap focuses on teachers' dissatisfaction with their pay and work hours, the staggering costs of insomnia, connections between wildfires and food insecurity, and more",2023-09-15T16:00:00Z,"this week, we discuss survey results showing that most us teachers feel overworked and underpaid; why insomnia is a multibillion-dollar problem; helping overworked public defenders; challenges faci… [+5049 chars]"
randorg,lena easton-calabria,"after maui fires, food security is a major concern and opportunity",the full impact of the deadly maui fires on food resilience strategies remains to be seen but the disaster highlights an urgent need for a systems-based approach to address both food security and wildfire prevention,2023-09-06T13:30:00Z,the covid-19 pandemic exposed the fragility of food supply chains and highlighted hawaii's reliance on food imports (pdf) the fires that have devastated maui provide another warning and perhaps an o… [+5080 chars]
globenewswire,rogers communications canada inc,rogers brings world leading wildfire detection and prevention technology to british columbia,introducing satellite-connected wildfire sensors with spacex technology connecting ai cameras to rogers 5g network for early wildfire detection in,2023-09-21T13:00:00Z,"introducing satellite-connected wildfire sensors with spacex technology connecting ai cameras to rogers 5g network for early wildfire detection in canadian first vancouver, british columbia, sept … [+4615 chars]"
naturalnewscom,zoey sky,"worse than smoking and alcohol: air pollution is the “greatest global threat to human health,” warn scientists","drinking alcohol and smoking are linked to many health issues but according to research, air pollution is the “greatest global threat to human health” more should be done to fight air pollution, experts say findings from a benchmark study suggest the growin…",2023-09-05T06:00:00Z,"drinking alcohol and smoking are linked to many health issues but according to research, air pollution is the ""greatest global threat to human health"" more should be done to fight air pollution, e… [+5939 chars]"
marketscreenercom,globenewswire,rogers brings world leading wildfire detection and prevention technology to british columbia,"(marketscreenercom) introducing satellite-connected wildfire sensors with spacex technology connecting ai cameras to rogers 5g network for early wildfire detection in canadian first vancouver, british columbia, sept 21, 2023 -- rogers communications today a…",2023-09-21T13:02:02Z,"introducing satellite-connected wildfire sensors with spacex technology connecting ai cameras to rogers 5g network for early wildfire detection in canadian first vancouver, british columbia, sept … [+4615 chars]"
yahoo entertainment,reuters,maui fire lawsuit blames landowners for wild grass growth,"the father of a woman who died in the hawaii wildfires last month has launched a novel lawsuit against three major landowners, seeking to hold them",2023-09-20T10:04:11Z,"wilmington, delaware (reuters) - the father of a woman who died in the hawaii wildfires last month has launched a novel lawsuit against three major landowners, seeking to hold them responsible even t… [+5816 chars]"
los angeles times,hannah wiley,california voters will decide in 2024 whether to lower bar for new taxes and housing bonds,california lawmakers on wednesday approved a 2024 ballot measure that asks voters whether to lower the bar for new taxes and bonds to fund housing and public infrastructure,2023-09-14T21:25:24Z,"in 2022, nearly 60% of voters in berkeley approved a $650-million bond to build affordable housing and repair streets, sidewalks and other outdated infrastructure the same year, more than 61% of v… [+5226 chars]"
los angeles times,the times editorial board,editorial: california lets a minority squash local tax and bond measures that could change,"by requiring a supermajority to pass local tax measures, a fraction of naysayers veto what a majority, or more, of their fellow voters support that's undemocratic",2023-09-18T12:00:58Z,"california gives too much power to a minority of voters to block local taxes for parks, housing, transportation and other public investments in most elections, decisions are made by a simple majori… [+4044 chars]"
grist,zoya teirstein,why the united states undercounts climate-driven deaths,"as temperatures rise and weather extremes worsen, finding better ways to monitor climate-related deaths becomes increasingly urgent",2023-09-05T08:15:00Z,"this story is part of record high, a grist series examining extreme heat and its impact on how and where we live every week between may and october, the maricopa county department of public health … [+10311 chars]"
biztoccom,nbcnewscom,house passes bill to improve wildfire prevention accountability after nbc news report,"create your free profile or log in to save this article create your free profile or log in to save this article a bill to improve how the federal government tracks wildfire prevention work passed the house in a near-unanimous 406-4 vote on wednesday, a month …",2023-09-13T18:46:13Z,create your free profile or log in to save this articlecreate your free profile or log in to save this articlea bill to improve how the federal government tracks wildfire prevention work passed the h… [+273 chars]
cna,,"hawaii, maui sued by victim's family for gross negligence in deadly wildfires",the father of a woman who died during last month's wildfires in hawaii has sued the state and the county of maui in a “first-of-its-kind” lawsuit accusing the governments of gross negligence leading to the blazes that razed the historic town of lahaina filed…,2023-09-05T21:23:43Z,the father of a woman who died during last month's wildfires in hawaii has sued the state and the county of maui in a first-of-its-kind lawsuit accusing the governments of gross negligence leading to… [+2618 chars]
insurance journal,admin,"tech startups in us, france, germany help in fight against wildfires","this year has been a challenging one for phil schneider, who hasnt seen wildfire behavior like this in his 47-year firefighting career blazes raged through more than 2,000 acres of wildland in recent months in his county deep in the …",2023-09-25T13:27:59Z,"this year has been a challenging one for phil schneider, who hasnt seen wildfire behavior like this in his 47-year firefighting career blazes raged through more than 2,000 acres of wildland in rec… [+9287 chars]"
euobserver,elena sánchez nicolás,[analysis] europe's summer wildfires: the lessons to be learnt,"this summer's wildfires have dominated headlines, featuring pictures of helicopters flying overhead and tourists fleeing — but what lessons have experts drawn? they are calling for the need to manage forests and vegetation, and create more forest firebreaks",2023-09-01T11:32:55Z,"this summer's wildfires have dominated headlines, with pictures of helicopters flying overhead and tourists fleeing — and politicians across europe blaming the magnitude of the disaster primarily on … [+3334 chars]"
globenewswire,firesmart bc,firesmart bc launches new youth education program following the worst wildfire season in bcs history,"victoria, bc, sept 25, 2023 (globe newswire) -- this back-to-school season comes after the worst wildfire season in bcs history to help students and educators learn about wildfire prevention and awareness, firesmart bc has launched new teaching resources g…",2023-09-25T16:53:00Z,"victoria, bc, sept 25, 2023 (globe newswire) -- this back-to-school season comes after the worst wildfire season in bcs history to help students and educators learn about wildfire prevention and aw… [+3006 chars]"
international business times,katerina nikolopoulou,greek pm vows for a restart after criticism for natural disasters' handling,"faced with criticism for his alleged poor handling of the fires and floods that struck greece this summer, prime minister kyriakos mitsotakis pledged fresh funding and reforms in order to fight the ""climate war""",2023-09-17T12:15:39Z,"faced with criticism for his alleged poor handling of the fires and floods that struck greece this summer, prime minister kyriakos mitsotakis pledged fresh funding and reforms in order to fight the ""… [+3406 chars]"
cnn,NA,"invasive species cost the world $423 billion every year and are causing environmental chaos, un report finds","invasive species cost the world at least $423 billion every year as they drive plant and animal extinctions, threaten food security and exacerbate",2023-09-05T06:26:17Z,"invasive species cost the world at least $423 billion every year as they drive plant and animal extinctions, threaten food security and exacerbate environmental catastrophes across the globe, a major… [+5723 chars]"
yahoo entertainment,audrey mcavoy,"the number of people missing following devastating maui wildfires has dropped to 66, governor says","one month after the deadliest us wildfire in more than a century leveled the historic town of lahaina, hawaii gov josh green said friday that the number",2023-09-08T22:14:21Z,"honolulu (ap) one month after the deadliest us wildfire in more than a century leveled the historic town of lahaina, hawaii gov josh green said friday that the number of missing has dropped to 66,… [+4727 chars]"
cbc news,david p ball,"canadian army needs dedicated climate disaster force, says former top soldier","this summer has seen the canadian armed forces deployed to multiple natural disasters at the request of provinces, which are ultimately responsible for emergency management and natural disasters",2023-09-04T08:00:00Z,"the country's former top soldier says canada is behind its allies in not having a dedicated agency that can deploy personnel to disasters nationwide retired lt gen andrew leslie, who commanded ca… [+6413 chars]"
yahoo entertainment,reuters,"factbox-us government shutdown: what closes, what stays open?","the two million us military personnel would remain at their posts, but roughly half of the pentagon's 800,000 civilian employees would be furloughed",2023-09-21T18:23:46Z,(reuters) - many us government services would be disrupted and hundreds of thousands of federal workers furloughed without pay if congress fails to provide funding for the fiscal year starting oct… [+6541 chars]
ladbible,dominic smithers,scientists warn silent killer 'super gonorrhoea' is on the rise,experts have warned that 'super gonorrhoea' is spreading like wildfire,2023-09-04T20:01:45Z,"when you think of the word 'super', you mind usually conjures something really, really good take 'superglue' and 'super strength drain unblocker' or even superman i think everyone would agree that… [+2691 chars]"
new york post,steven nelson,biden claims he was at ground zero day after 9/11 — but his own book puts him in dc,"“ground zero in new york — i remember standing there the next day and looking at the building and i felt like i was looking through the gates of hell,” biden told us troops in alaska…",2023-09-11T23:19:37Z,washington president biden said monday that he was at the world trade center site in new york city one day after the 9/11 attacks despite his own autobiography placing him in dc the 80-year-old pre… [+5870 chars]
marketscreenercom,publicnow,entergy : wildfire risk management,"(marketscreenercom) dry conditions, extreme heat combine to create wildfire hazards while drought conditions and wildfires have not been common in most areas across entergy's service territory, recent record-breaking high temperatures and ongoing se…",2023-09-15T17:25:02Z,"dry conditions, extreme heat combine to create wildfire hazards while drought conditions and wildfires have not been common in most areas across entergy's service territory, recent record-breaking h… [+9490 chars]"
globenewswire,alcherax inc,alchera x partners with national forest foundation (nff) in their commitment to plant thousands of trees,"new york, sept 07, 2023 (globe newswire) -- alchera x, a global leader in ai saas specializing in wildfire detection and protection through firescout, is pleased to announce that in a significant step toward ensuring the health of national forests, the compa…",2023-09-07T19:15:00Z,"new york, sept 07, 2023 (globe newswire) -- alchera x, a global leader in ai saas specializing in wildfire detection and protection through firescout, is pleased to announce that in a significant st… [+3934 chars]"
globenewswire,alcherax inc,"ax hosts korean delegation, strengthening global wildfire management & disaster response","sonoma county, calif, sept 21, 2023 (globe newswire) -- ax is pleased to announce that, in collaboration with sonoma county and the redcom center, the company has welcomed a delegation from south korea for the second time this year building upon south kore…",2023-09-21T21:00:00Z,"sonoma county, calif, sept 21, 2023 (globe newswire) -- ax is pleased to announce that, in collaboration with sonoma county and the redcom center, the company has welcomed a delegation from south k… [+4025 chars]"
cbc news,david p ball,"canadian army needs dedicated climate disaster force, says former lieutenant-general",a former army commander says canada is behind its allies in not having a dedicated agency that can deploy personnel to disasters nationwide,2023-09-04T08:00:00Z,a former army commander says canada is behind its allies in not having a dedicated agency that can deploy personnel to disasters nationwide retired lt-gen andrew leslie told cbc news the lack of … [+6373 chars]
marketscreenercom,reuters,us appeals court questions delay in pg&e shareholder case,"(marketscreenercom) us appeals court judges questioned a 2-1/2-year pause in a shareholder lawsuit against pg&e corp officers and directors on wednesday, suggesting they could allow the case over statements about the utility's wildfire prevention measures …",2023-09-13T19:12:04Z,"(reuters) - us appeals court judges questioned a 2-1/2-year pause in a shareholder lawsuit against pg&amp;e corp officers and directors on wednesday, suggesting they could allow the case over state… [+1838 chars]"
