0,1,2,3,4,5
prnewswire,,"hawaiian electric investor deadline approaching: securities litigation partner james (josh) wilson encourages investors who suffered losses exceeding $100,000 in hawaiian electric to contact him directly to discuss their options","new york, sept 23, 2023 /prnewswire/ --faruqi & faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc (""hawaiian electric"" or the ""company"") (nyse: he) and reminds investors of the o…",2023-09-23T15:00:00Z,"new york, sept 23, 2023 /prnewswire/ --faruqi &amp; faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc (""hawaiian elect… [+5140 chars]"
screen rant,joe deckelmeier,peter facinelli talks about directing on fire & collaborating with his cast,"on fire director and star peter facinelli discusses collaborating with co-director nick lyon, what drew him to the script, and the filming process",2023-09-22T19:22:22Z,"summary <ul><li> on fire is a family survival film that focuses on one family's journey through a wildfire crisis, highlighting their strength, faith, and love </li><li> the movie is based on real … [+12970 chars]"
investingcom,reuters,analysis-novel lahaina wildfire lawsuit asks 'when is wild grass inherently dangerous?',analysis-novel lahaina wildfire lawsuit asks 'when is wild grass inherently dangerous?',2023-09-20T10:17:13Z,"by tom hals wilmington, delaware (reuters) - the father of a woman who died in the hawaii wildfires last month has launched a novel lawsuit against three major landowners, seeking to hold them respo… [+5726 chars]"
marketscreenercom,prnewswire,wildfire safety and preparedness: the pg&e corporation foundation and california fire foundation announce wildfire safety grant funding,"(marketscreenercom) 49 grants totaling $730,000 awarded to local fire departments, fire agencies and community groups sacramento, calif, sept 21, 2023 /prnewswire/ -- the california fire foundation , with support from the pg&e corporation foundation , ha…",2023-09-21T17:01:05Z,"49 grants totaling $730,000 awarded to local fire departments, fire agencies and community groups sacramento, calif, sept 21, 2023 /prnewswire/ -- the california fire foundation (cff), with suppor… [+6617 chars]"
globenewswire,de beers canada,anglo american foundation supports wildfire recovery in the northwest territories and british columbia,"calgary, ab canada, sept 14, 2023 (globe newswire) -- de beers group is proud to announce a cad$250,000 contribution from the anglo american foundation to support wildfire recovery in canadas northwest territories (nwt) and british columbia (bc)",2023-09-14T21:30:00Z,"calgary, ab canada, sept 14, 2023 (globe newswire) -- de beers group is proud to announce a cad$250,000 contribution from the anglo american foundation to support wildfire recovery in canadas northw… [+3210 chars]"
the conversation africa,"jean slick, professor, disaster and emergency management, royal roads university",canada's lack of recognition for gender-based violence is putting disaster survivors at risk,research shows gender-based violence increases in the aftermath of disasters governments must incorporate ways of addressing it into their disaster response plans,2023-09-10T13:04:16Z,evidence suggests gender-based violence increases during disasters and in the years that follow (shutterstock) canada has experienced an unprecedented wildfire season in 2023 peoples experiences … [+6755 chars]
bbc news,NA,voice referendum: lies fuel racism ahead of australia's indigenous vote,experts express concerns for first nations people as a referendum debate turns increasingly divisive,2023-09-05T21:23:50Z,"""people have been let off the leash,"" thomas mayo says quietly, swiping through screenshots racist memes depicting first nations australians as ""grifters"", ""wife beaters"" and ""primitives"" flash acr… [+8953 chars]"
globenewswire,robbins llp,"he stockholder alert: investors with large losses should contact robbins llp for information about recovery against hawaiian electric industries, inc (he)","san diego, sept 08, 2023 (globe newswire) -- robbins llp reminds investors that a shareholder filed a class action on behalf of persons and entities that purchased or otherwise acquired hawaiian electric industries, inc (nyse: he) securities between februar…",2023-09-08T19:46:00Z,"san diego, sept 08, 2023 (globe newswire) -- robbins llp reminds investors that a shareholder filed a class action on behalf of persons and entities that purchased or otherwise acquired hawaiian e… [+3871 chars]"
marketscreenercom,business wire,"hawaiian electric industries, inc (he) investor alert: robbins llp reminds investors of lead plaintiff deadline in hawaiian electric industries, inc securities class action","(marketscreenercom) robbins llp reminds investors that a shareholder filed a class action on behalf of persons and entities that purchased or otherwise acquired hawaiian electric industries, inc securities between february 28, 2019 and august 16, 2023 haw…",2023-09-06T11:11:02Z,"robbins llp reminds investors that a shareholder filed a class action on behalf of persons and entities that purchased or otherwise acquired hawaiian electric industries, inc (nyse: he) securities b… [+3913 chars]"
marketscreenercom,reuters,"california escapes fire season mostly unharmed, but danger could lie ahead","(marketscreenercom) california is on the verge of recording a second straight year of relatively mild wildfire damage, after historic rains put the state on track to avoid the calamities of recent fire seasonshttps://wwwmarketscreenercom/news/latest/calif…",2023-09-25T10:06:03Z,"(reuters) - california is on the verge of recording a second straight year of relatively mild wildfire damage, after historic rains put the state on track to avoid the calamities of recent fire seaso… [+2805 chars]"
investingcom,reuters,"california escapes fire season mostly unharmed, but danger could lie ahead","california escapes fire season mostly unharmed, but danger could lie ahead",2023-09-25T10:11:22Z,"by daniel trotta (reuters) - california is on the verge of recording a second straight year of relatively mild wildfire damage, after historic rains put the state on track to avoid the calamities of… [+2744 chars]"
globenewswire,robbins llp,"he stock news: investors with significant losses in hawaiian electric industries, inc (he) should contact robbins llp for information about class action and lead plaintiff deadline","san diego, sept 18, 2023 (globe newswire) -- robbins llp reminds investors that a shareholder filed a class action on behalf of persons and entities that purchased or otherwise acquired hawaiian electric industries, inc (nyse: he) securities between februar…",2023-09-18T16:33:00Z,"san diego, sept 18, 2023 (globe newswire) -- robbins llp reminds investors that a shareholder filed a class action on behalf of persons and entities that purchased or otherwise acquired hawaiian ele… [+3869 chars]"
americanthinkercom,,disaster and corruption in the valley isle of maui,"“you never want a serious crisis to go to waste” -rahm emanuel rather than whining to mother nature, we need to hold people accountable for the destructiveness of the august 2023 lahaina disaster pointing at abstractions like &",2023-09-04T05:00:00Z,"“you never want a serious crisis to go to waste” -rahm emanuel rather than whining to mother nature, we need to hold people accountable for the destructiveness of the august 2023 lahaina disaster … [+3962 chars]"
globenewswire,glancy prongay & murray llp,"glancy prongay & murray llp reminds investors of looming deadline in the class action lawsuit against hawaiian electric industries, inc (he)","los angeles, sept 08, 2023 (globe newswire) -- glancy prongay & murray llp (“gpm”) reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action filed on behalf of investors who purchased or otherwise acquire…",2023-09-08T16:30:00Z,"los angeles, sept 08, 2023 (globe newswire) -- glancy prongay &amp; murray llp (gpm) reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action… [+3883 chars]"
marketscreenercom,business wire,"glancy prongay & murray llp reminds investors of looming deadline in the class action lawsuit against hawaiian electric industries, inc (he)","(marketscreenercom) glancy prongay & murray llp reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action filed on behalf of investors who purchased or otherwise acquired hawaiian electric industries, in…",2023-09-06T17:11:01Z,"glancy prongay &amp; murray llp (gpm) reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action filed on behalf of investors who purchased or oth… [+3788 chars]"
globenewswire,glancy prongay & murray llp,"glancy prongay & murray llp reminds investors of looming deadline in the class action lawsuit against hawaiian electric industries, inc (he)","los angeles, sept 15, 2023 (globe newswire) -- glancy prongay & murray llp (“gpm”) reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action filed on behalf of investors who purchased or otherwise acquire…",2023-09-15T15:00:00Z,"los angeles, sept 15, 2023 (globe newswire) -- glancy prongay &amp; murray llp (gpm) reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action f… [+3881 chars]"
globenewswire,glancy prongay & murray llp,"glancy prongay & murray llp reminds investors of looming deadline in the class action lawsuit against hawaiian electric industries, inc (he)","los angeles, sept 21, 2023 (globe newswire) -- glancy prongay & murray llp (“gpm”) reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action filed on behalf of investors who purchased or otherwise acquire…",2023-09-21T16:27:00Z,"los angeles, sept 21, 2023 (globe newswire) -- glancy prongay &amp; murray llp (gpm) reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action f… [+3881 chars]"
