0,1,2,3,4,5
yahoo entertainment,afp,greece blaze is 'largest wildfire ever recorded in eu',"a forest blaze in greece is ""the largest wildfire ever recorded in the eu"" and the bloc is mobilising nearly half its firefighting air wing to tackle it, a",2023-08-29T17:16:58Z,"a forest blaze in greece is ""the largest wildfire ever recorded in the eu"" and the bloc is mobilising nearly half its firefighting air wing to tackle it, a european commission spokesman said tuesday… [+2956 chars]"
bbc news,https://wwwfacebookcom/bbcnews,voice referendum: lies fuel racism ahead of australia's indigenous vote,experts express concerns for first nations people as a referendum debate turns increasingly divisive,2023-09-05T21:23:49Z,"""people have been let off the leash,"" thomas mayo says quietly, swiping through screenshots racist memes depicting first nations australians as ""grifters"", ""wife beaters"" and ""primitives"" flash ac… [+9064 chars]"
scientific american,curtis abraham,large herbivores can help prevent massive wildfires,reintroducing large herbivores into fire-prone areas can help combat the global rise in megafires,2023-09-09T12:00:00Z,"in 2019 and 2020, a megafire scorched eastern australia, destroying some 24 million hectares of land, and adding to the hole in the ozone layer another massive fire ate away parts of northern califo… [+7274 chars]"
physorg,roland lloyd parry,climate change boosts risk of extreme wildfires 25%: study,"climate change has sharply boosted the risk of fast-spreading wildfires, according to a californian study published wednesday that offers lessons for prevention after recent disasters in canada, greece and hawaii",2023-08-30T18:31:44Z,"climate change has sharply boosted the risk of fast-spreading wildfires, according to a californian study published wednesday that offers lessons for prevention after recent disasters in canada, gree… [+4507 chars]"
vox,kylie mohr,wildfire risk is everywhere and growing,the ingredients for catastrophic wildfires are found in all corners of the country here are areas facing increased risk,2023-09-12T11:30:00Z,"all a wildfire needs is oxygen, an ignition to spark it, and fuel to burn its crackling embers and flickering flames dont know the difference between the california foothills, where residents are us… [+10837 chars]"
politico,wes venteicher and camille von kaenel,california is adding green jobs that means more labor fights,union clashes over wildfire preparedness and battery installations are threatening to slow the states progress on climate change,2023-08-28T22:00:00Z,clashes over whether wildfire workers should be paid more and whether solar panel installers should also be allowed to install batteries are pitting labor unions against wildfire prevention advocates… [+5142 chars]
forbes,NA,why now is the time to focus on wildfire prevention and restoration,"the search engine ecosia recently announced it will invest €800,000 into prevention and restoration schemes",2023-09-13T10:29:06Z,"albergaria a velha, portugal - july 13: firefighters during a forest fire that has hit a timber [+] factory on july 13, 2022 in albergaria a velha, portugal wildfires have swept across the centr… [+4157 chars]"
physorg,science x,greece blaze is 'largest wildfire ever recorded in eu',"a forest blaze in greece is ""the largest wildfire ever recorded in the eu"" and the bloc is mobilizing nearly half its firefighting air wing to tackle it, a european commission spokesman said tuesday",2023-08-29T20:12:43Z,"a forest blaze in greece is ""the largest wildfire ever recorded in the eu"" and the bloc is mobilizing nearly half its firefighting air wing to tackle it, a european commission spokesman said tuesday… [+3332 chars]"
al jazeera english,matthaios tsimitakis,greece is fighting wildfires the wrong way,a strategy focusing largely on boosting a firefighting force won't save the country from climate crisis-fuelled blazes,2023-09-17T11:01:15Z,"this summer, i decided to seek refuge from the heat in mount pelion, a mountainous region in the heart of greece, halfway between athens and thessaloniki it is home to breathtaking forests and vibra… [+9254 chars]"
makeuseof,charlotte osborn,is youtube doing enough to curb health misinformation?,misinformation and disinformation proliferate online are youtube's ongoing changes enough to promote trustworthy health content?,2023-09-14T16:16:23Z,"key takeaways <ul><li> youtube has repeatedly adjusted policies to tackle health misinformation, aiming to protect users from inaccurate health content while preserving important conversations </li… [+7909 chars]"
